cases_per_mil,country,deaths,population,serious,test_per_mil,tests,total
,,"147,926",,"19,473",,,"2,546,223"
,,"63,309",,"12,102",,,"1,514,946"
,,"184,374",,"6,505",,,"2,247,806"
,,"44,115",,"15,946",,,"1,717,816"
,,"7,066",,494,,,"262,894"
,,124,,3,,,"8,983"
,,15,,4,,,721
"1,065",,"446,929",,"54,527",,57.3,"8,299,389"
"6,676",USA,"119,161 ","330,928,170","16,695","77,794",360,"2,209,260"
"4,372",Brazil,"45,467 ","212,500,470","8,318","8,045",214,"929,149"
"3,791",Russia,"7,478 ","145,932,234","2,300","107,445",51,"553,301"
258,India,"11,954 ","1,379,455,941","8,944","4,411",9,"356,372"
"4,393",UK,"41,969 ","67,872,439",395,"102,862",618,"298,136"
"6,233",Spain,"27,136 ","46,754,133",617,"103,232",580,"291,408"
"3,928",Italy,"34,405 ","60,464,907",177,"77,660",569,"237,500"
"7,197",Peru,"7,056 ","32,952,301","1,121","42,383",214,"237,156"
"2,323",Iran,"9,185 ","83,947,823","2,789","15,723",109,"195,051"
"2,251",Germany,"8,910 ","83,774,027",419,"56,033",106,"188,544"
"9,652",Chile,"3,383 ","19,109,674","1,727","45,712",177,"184,449"
"2,151",Turkey,"4,842 ","84,301,943",732,"32,277",57,"181,298"
"2,416",France,"29,547 ","65,268,238",820,"21,214",453,"157,716"
"1,202",Mexico,"18,310 ","128,877,519",378,"3,325",142,"154,863"
701,Pakistan,"2,975 ","220,697,198",111,"4,308",13,"154,760"
"4,060",Saudi Arabia,"1,091 ","34,790,318","1,859","33,566",31,"141,234"
"2,636",Canada,"8,213 ","37,728,960","1,971","58,754",218,"99,467"
598,Bangladesh,"1,305 ","164,622,947",1,"3,349",8,"98,489"
"29,622",Qatar,82 ,,240,"108,555",29,"83,174"
"1,288",South Africa,"1,625 ","59,277,377",208,"19,780",27,"76,334"
"5,199",Belgium,"9,675 ","11,587,727",67,"91,137",835,"60,244"
"5,930",Belarus,324 ,"9,449,432",92,"82,432",34,"56,032"
"1,080",Colombia,"1,801 ","50,860,734",335,"10,224",35,"54,931"
"5,404",Sweden,"5,041 ","10,096,837",272,"32,188",499,"54,562"
"2,872",Netherlands,"6,074 ","17,133,488",78,"28,271",355,"49,204"
